movie_name,director,cast_name,country_name,subgenre_name
Deep Blue Sea,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson",United States,"
"
Escape from Mars,Neill L. Fearnley,"Christine Elise, Peter Outerbridge, Kavan Smith",United States,"
"
eXistenZ,David Cronenberg,"Jennifer Jason Leigh, Jude Law, Willem Dafoe",CanadaUnited Kingdom,"
"
Furia,Alexandre Aja,"Stanislas Merhar, Marion Cotillard, Wadeck Stanczak",France,"[71]
"
Galaxy Quest,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",United States,"[nb 23]
"
Gamera 3: Awakening of Irys,Shusuke Kaneko,"Shinobu Nakayama, Ai Maeda, Ayako Fujitani",Japan,"
"
Godzilla 2000,Takao Okawara,"Takehiro Murata, Shiro Sano, Hiroshi Abe",Japan,"[72]
"
The Iron Giant,Brad Bird,,United States,"Animation
"
The Matrix,The Wachowskis,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",United States,"[nb 24]
"
Muppets from Space,Tim Hill,"Andie MacDowell, F. Murray Abraham, Hulk Hogan",United States,"
"
My Favorite Martian,Donald Petrie,"Jeff Daniels, Christopher Lloyd, Daryl Hannah, Elizabeth Hurley",United States,"
"
Peut-être,Cédric Klapisch,"Romain Duris, Jean-Paul Belmondo, Géraldine Pailhas",France,"Time travel
"
Progeny,Brian Yuzna,"Arnold Vosloo, Jillian McWhirter, Brad Dourif, Lindsay Crouse",United States,"
"
Star Wars: Episode I – The Phantom Menace,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Ian McDiarmid, Frank Oz",United States,"[nb 25]
"
The Thirteenth Floor,Josef Rusnak,"Craig Bierko, Armin Mueller-Stahl, Gretchen Mol",United States,"
"
The Time Shifters (a.k.a. Thrill Seekers),Mario Azzopardi,"Casper Van Dien, Catherine Bell, Theresa Saldana",United States,"
"
Universal Soldier: The Return,Mic Rodgers,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz",United States,"
"
Virus,John Bruno,"Jamie Lee Curtis, William Baldwin, Donald Sutherland",United States,"
"
Wing Commander,Chris Roberts,"Freddie Prinze Jr., Saffron Burrows, Matthew Lillard",United States,"
"
